creator_publisher_name,platform,profile_website_url,niche,location_where_public,follower_traffic_signal,engagement_audience_signal,recent_activity_signal,public_email_contact_page,sponsor_affiliate_signal,source_url,notes
creator publisher name sample 1,https://www.instagram.com/creators-sample-01,https://creators-sample-01.example,niche sample 1,location where public sample 1,Relevant creator intelligence opportunity signal 1,Relevant creator intelligence opportunity signal 1,Relevant creator intelligence opportunity signal 1,hello1@creators-sample-01.example,Relevant creator intelligence opportunity signal 1,https://example.com/source/500-creators-with-media-kits/1,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 2,https://www.instagram.com/creators-sample-02,https://creators-sample-02.example,niche sample 2,location where public sample 2,Relevant creator intelligence opportunity signal 2,Relevant creator intelligence opportunity signal 2,Relevant creator intelligence opportunity signal 2,hello2@creators-sample-02.example,Relevant creator intelligence opportunity signal 2,https://example.com/source/500-creators-with-media-kits/2,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 3,https://www.instagram.com/creators-sample-03,https://creators-sample-03.example,niche sample 3,location where public sample 3,Relevant creator intelligence opportunity signal 3,Relevant creator intelligence opportunity signal 3,Relevant creator intelligence opportunity signal 3,hello3@creators-sample-03.example,Relevant creator intelligence opportunity signal 3,https://example.com/source/500-creators-with-media-kits/3,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 4,https://www.instagram.com/creators-sample-04,https://creators-sample-04.example,niche sample 4,location where public sample 4,Relevant creator intelligence opportunity signal 4,Relevant creator intelligence opportunity signal 4,Relevant creator intelligence opportunity signal 4,hello4@creators-sample-04.example,Relevant creator intelligence opportunity signal 4,https://example.com/source/500-creators-with-media-kits/4,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 5,https://www.instagram.com/creators-sample-05,https://creators-sample-05.example,niche sample 5,location where public sample 5,Relevant creator intelligence opportunity signal 5,Relevant creator intelligence opportunity signal 5,Relevant creator intelligence opportunity signal 5,hello5@creators-sample-05.example,Relevant creator intelligence opportunity signal 5,https://example.com/source/500-creators-with-media-kits/5,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 6,https://www.instagram.com/creators-sample-06,https://creators-sample-06.example,niche sample 6,location where public sample 6,Relevant creator intelligence opportunity signal 6,Relevant creator intelligence opportunity signal 6,Relevant creator intelligence opportunity signal 6,hello6@creators-sample-06.example,Relevant creator intelligence opportunity signal 6,https://example.com/source/500-creators-with-media-kits/6,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 7,https://www.instagram.com/creators-sample-07,https://creators-sample-07.example,niche sample 7,location where public sample 7,Relevant creator intelligence opportunity signal 7,Relevant creator intelligence opportunity signal 7,Relevant creator intelligence opportunity signal 7,hello7@creators-sample-07.example,Relevant creator intelligence opportunity signal 7,https://example.com/source/500-creators-with-media-kits/7,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 8,https://www.instagram.com/creators-sample-08,https://creators-sample-08.example,niche sample 8,location where public sample 8,Relevant creator intelligence opportunity signal 8,Relevant creator intelligence opportunity signal 8,Relevant creator intelligence opportunity signal 8,hello8@creators-sample-08.example,Relevant creator intelligence opportunity signal 8,https://example.com/source/500-creators-with-media-kits/8,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 9,https://www.instagram.com/creators-sample-09,https://creators-sample-09.example,niche sample 9,location where public sample 9,Relevant creator intelligence opportunity signal 9,Relevant creator intelligence opportunity signal 9,Relevant creator intelligence opportunity signal 9,hello9@creators-sample-09.example,Relevant creator intelligence opportunity signal 9,https://example.com/source/500-creators-with-media-kits/9,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
creator publisher name sample 10,https://www.instagram.com/creators-sample-10,https://creators-sample-10.example,niche sample 10,location where public sample 10,Relevant creator intelligence opportunity signal 10,Relevant creator intelligence opportunity signal 10,Relevant creator intelligence opportunity signal 10,hello10@creators-sample-10.example,Relevant creator intelligence opportunity signal 10,https://example.com/source/500-creators-with-media-kits/10,Sample row for 500 Creators With Media Kits; replace with verified production data before outreach.
