creator_company_name,website,platform,niche,public_email,contact_page,social_link,sponsor_booking_page,source_url,notes
creator company name sample 1,https://instagram-creators-sample-01.example,https://www.instagram.com/instagram-creators-sample-01,niche sample 1,hello1@instagram-creators-sample-01.example,https://instagram-creators-sample-01.example/contact,https://www.instagram.com/instagram-creators-sample-01,Relevant creator intelligence opportunity signal 1,https://example.com/source/instagram-creators-with-public-emails/1,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 2,https://instagram-creators-sample-02.example,https://www.instagram.com/instagram-creators-sample-02,niche sample 2,hello2@instagram-creators-sample-02.example,https://instagram-creators-sample-02.example/contact,https://www.instagram.com/instagram-creators-sample-02,Relevant creator intelligence opportunity signal 2,https://example.com/source/instagram-creators-with-public-emails/2,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 3,https://instagram-creators-sample-03.example,https://www.instagram.com/instagram-creators-sample-03,niche sample 3,hello3@instagram-creators-sample-03.example,https://instagram-creators-sample-03.example/contact,https://www.instagram.com/instagram-creators-sample-03,Relevant creator intelligence opportunity signal 3,https://example.com/source/instagram-creators-with-public-emails/3,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 4,https://instagram-creators-sample-04.example,https://www.instagram.com/instagram-creators-sample-04,niche sample 4,hello4@instagram-creators-sample-04.example,https://instagram-creators-sample-04.example/contact,https://www.instagram.com/instagram-creators-sample-04,Relevant creator intelligence opportunity signal 4,https://example.com/source/instagram-creators-with-public-emails/4,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 5,https://instagram-creators-sample-05.example,https://www.instagram.com/instagram-creators-sample-05,niche sample 5,hello5@instagram-creators-sample-05.example,https://instagram-creators-sample-05.example/contact,https://www.instagram.com/instagram-creators-sample-05,Relevant creator intelligence opportunity signal 5,https://example.com/source/instagram-creators-with-public-emails/5,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 6,https://instagram-creators-sample-06.example,https://www.instagram.com/instagram-creators-sample-06,niche sample 6,hello6@instagram-creators-sample-06.example,https://instagram-creators-sample-06.example/contact,https://www.instagram.com/instagram-creators-sample-06,Relevant creator intelligence opportunity signal 6,https://example.com/source/instagram-creators-with-public-emails/6,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 7,https://instagram-creators-sample-07.example,https://www.instagram.com/instagram-creators-sample-07,niche sample 7,hello7@instagram-creators-sample-07.example,https://instagram-creators-sample-07.example/contact,https://www.instagram.com/instagram-creators-sample-07,Relevant creator intelligence opportunity signal 7,https://example.com/source/instagram-creators-with-public-emails/7,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 8,https://instagram-creators-sample-08.example,https://www.instagram.com/instagram-creators-sample-08,niche sample 8,hello8@instagram-creators-sample-08.example,https://instagram-creators-sample-08.example/contact,https://www.instagram.com/instagram-creators-sample-08,Relevant creator intelligence opportunity signal 8,https://example.com/source/instagram-creators-with-public-emails/8,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 9,https://instagram-creators-sample-09.example,https://www.instagram.com/instagram-creators-sample-09,niche sample 9,hello9@instagram-creators-sample-09.example,https://instagram-creators-sample-09.example/contact,https://www.instagram.com/instagram-creators-sample-09,Relevant creator intelligence opportunity signal 9,https://example.com/source/instagram-creators-with-public-emails/9,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
creator company name sample 10,https://instagram-creators-sample-10.example,https://www.instagram.com/instagram-creators-sample-10,niche sample 10,hello10@instagram-creators-sample-10.example,https://instagram-creators-sample-10.example/contact,https://www.instagram.com/instagram-creators-sample-10,Relevant creator intelligence opportunity signal 10,https://example.com/source/instagram-creators-with-public-emails/10,Sample row for Instagram creators with public emails; replace with verified production data before outreach.
